trial_number,alpha,min_df,max_df,norm,use_idf,smooth_idf,sublinear_tf,accuracy_train,accuracy_test,accuracy_mean
142,1.0516144128994125,51,0.9626302043750837,,True,False,True,0.7708057838542793,0.7347889125799574,0.7527973482171184
143,1.1628934053942916,201,0.8400166295355385,,True,False,True,0.7674713959591316,0.7362046908315565,0.751838043395344
144,0.5286045786575779,1,0.9184993704026599,,True,False,True,0.8354451123335935,0.6800852878464819,0.7577652000900377
145,0.7774593878326058,151,0.7698525240113487,,True,False,True,0.7695198253827717,0.736955223880597,0.7532375246316844
146,1.4819225106973672,51,0.9995465017467953,,True,False,True,0.7708012317888934,0.7347036247334755,0.7527524282611844
147,0.5213383707648307,1,0.8962898578257719,,True,False,True,0.8354724247259088,0.6799147121535182,0.7576935684397135
148,0.5528004974571179,251,0.8785510127216729,,True,False,True,0.7641506642601414,0.733321961620469,0.7487363129403053
149,0.929135635710446,151,0.898717872668269,,True,False,True,0.7694970650558425,0.7368528784648187,0.7531749717603307
150,0.029898502257444955,401,0.844036646586252,,True,False,True,0.7562778671752841,0.7252537313432836,0.7407657992592839
151,0.39662472847664715,1,0.9563969424038259,,True,False,True,0.8359412874606531,0.6778678038379531,0.7569045456493031
152,0.4105387715618454,101,0.9490920175862444,,True,False,True,0.7709855904370211,0.7375181236673773,0.7542518570521992
153,0.6675347898482427,2101,0.9134060337583341,,True,False,True,0.38759243537774174,0.37644349680170575,0.3820179660897237
154,0.5021833133269429,1,0.826716011536967,,True,False,True,0.8355224974451533,0.6796417910447761,0.7575821442449646
155,0.805327812115657,51,0.7874192869733853,,True,False,True,0.7707784714619641,0.7348230277185501,0.7528007495902571
156,0.5027919138281455,201,0.8157531947419837,,True,False,True,0.7675055364495256,0.736136460554371,0.7518209985019483
157,1.2279590997439047,1,0.8620615027211238,,True,False,True,0.8331463193137306,0.6897398720682303,0.7614430956909805
158,1.2282010895593436,101,0.8217768416507893,,True,True,True,0.7709468978812412,0.7375181236673773,0.7542325107743093
159,1.5516887550346667,1001,0.8592210720106658,,False,False,True,0.6982231012766268,0.6710618336886993,0.684642467482663
160,2.497398493091876,301,0.891219786043641,,True,False,True,0.7618655274364361,0.7311897654584222,0.7465276464474291
161,0.6278651978170019,1,0.8626464128030858,,True,False,True,0.8351082594950394,0.6821151385927505,0.7586116990438949
162,0.674664815505096,1,0.8532443530971187,,True,False,True,0.8349466611738411,0.6828827292110874,0.7589146951924642
163,0.9860279168124666,151,0.8532961791396472,,True,False,True,0.7695016171212283,0.7368869936034115,0.7531943053623199
164,0.6383987851356492,101,0.841283883638531,,True,False,True,0.77095372597932,0.7375522388059701,0.754252982392645
165,1.206854812860189,1,0.8300962659446168,,True,False,True,0.8332396366541409,0.6895522388059702,0.7613959377300555
166,1.8373619809569715,201,0.7940911472219233,,True,False,False,0.7664153167896104,0.7353859275053305,0.7509006221474704
167,1.2860790641044177,51,0.8296809806463528,l2,True,False,True,0.7399063640150128,0.706865671641791,0.723386017828402
168,1.0885374525804041,1301,0.8159154015202381,l1,True,False,True,0.418366673418897,0.40353091684434966,0.4109487951316233
